Forename,Order ID,Surname,Sales
Sean,CA-2011-145317,Miller,"$23,661"
Tamara,CA-2013-118689,Chand,"$18,337"
Raymond,CA-2014-140151,Buch,"$14,052"
Tom,CA-2014-127180,Ashbrook,"$13,716"
Becky,CA-2011-139892,Martin,"$10,540"
Hunter,CA-2014-166709,Lopez,"$10,500"
Sanjit,CA-2011-116904,Chand,"$9,900"
Adrian,CA-2013-117121,Barton,"$9,893"
Bill,US-2013-107440,Shonely,"$9,135"
Sanjit,CA-2013-158841,Engle,"$8,805"
Christopher,CA-2013-143714,Conant,"$8,539"
Ken,CA-2011-143917,Lonsdale,"$8,319"
Grant,US-2014-168116,Thornton,"$8,167"
Peter,US-2012-126977,Fuller,"$7,678"
Seth,CA-2014-100111,Vernon,"$7,360"
Tom,CA-2011-145541,Boeckenhauer,"$7,000"
Christopher,CA-2012-145352,Martinez,"$6,413"
Greg,CA-2011-128209,Tran,"$6,161"
Karen,US-2013-143819,Daniels,"$6,126"
Keith,CA-2012-114811,Dawkins,"$5,851"
Andy,CA-2014-138289,Reiter,"$5,803"
Sean,US-2011-106992,Braxton,"$5,580"
Daniel,US-2013-140158,Raglin,"$5,549"
Todd,CA-2014-143112,Sumrall,"$5,509"
Jane,CA-2014-135909,Waco,"$5,326"
Nick,CA-2014-149881,Crebassa,"$5,283"
Cindy,CA-2013-108196,Stewart,"$5,017"
Edward,CA-2013-136301,Hooks,"$4,941"
Harry,US-2012-128587,Marie,"$4,910"
Caroline,CA-2013-128818,Jumper,"$4,836"
Max,CA-2013-100300,Jones,"$4,823"
Nathan,CA-2011-164973,Mautz,"$4,807"
Joseph,CA-2014-158379,Airdo,"$4,749"
Dennis,CA-2013-138478,Pardue,"$4,685"
Nora,CA-2011-168494,Preis,"$4,631"
Cathy,US-2014-167402,Prescott,"$4,619"
Fred,CA-2012-111829,Hopkins,"$4,607"
Patrick,CA-2014-129021,O'Brill,"$4,590"
John,CA-2011-144624,Murray,"$4,549"
Helen,CA-2014-121559,Wasserman,"$4,472"
Adam,CA-2013-129714,Bellavance,"$4,439"
Tom,CA-2014-118892,Prescott,"$4,416"
Alex,CA-2013-103982,Avila,"$4,406"
Quincy,CA-2012-117086,Jones,"$4,405"
Maria,CA-2011-167199,Etezadi,"$4,375"
Pete,US-2014-102183,Kriz,"$4,338"
Anna,CA-2013-113831,Häberlin,"$4,317"
Joseph,CA-2012-116638,Holt,"$4,298"
Darrin,CA-2011-160766,Martin,"$4,284"
Greg,CA-2011-102988,Maxwell,"$4,252"
Tamara,CA-2012-137113,Willingham,"$4,211"
Natalie,CA-2012-147830,Fritzler,"$4,190"
Alan,CA-2014-127432,Dominguez,"$4,189"
Karen,CA-2013-159016,Ferguson,"$4,174"
Jim,CA-2014-168109,Kriz,"$4,151"
Maribeth,CA-2013-107104,Schnelling,"$4,104"
Shirley,CA-2012-120782,Daniels,"$4,000"
Laura,CA-2013-122903,Armstrong,"$3,964"
Keith,CA-2014-117457,Herrera,"$3,956"
Sarah,CA-2012-149846,Brown,"$3,862"
Yana,CA-2014-119809,Sorensen,"$3,859"
Luke,CA-2011-116246,Weiss,"$3,785"
Kristen,CA-2011-163223,Hastings,"$3,770"
Katrina,CA-2012-102491,Willman,"$3,748"
Dianna,CA-2011-131926,Wilson,"$3,746"
Caroline,CA-2014-102204,Jumper,"$3,741"
Brosina,CA-2011-115812,Hoffman,"$3,714"
Giulietta,CA-2012-158421,Baptist,"$3,632"
Ross,US-2014-110576,Baird,"$3,630"
Susan,CA-2013-124590,Pistek,"$3,588"
Maria,CA-2013-160717,Etezadi,"$3,528"
Mitch,CA-2011-125997,Webber,"$3,519"
Steven,CA-2014-165323,Roelle,"$3,506"
Bill,CA-2014-137596,Eplett,"$3,481"
Christine,US-2011-148838,Phan,"$3,455"
Rick,CA-2012-124891,Hansen,"$3,420"
Rick,CA-2014-166093,Wilson,"$3,398"
Ellis,CA-2012-164301,Ballard,"$3,394"
Naresj,CA-2012-131338,Patel,"$3,386"
Natalie,US-2012-160857,Webber,"$3,385"
Rick,CA-2013-169663,Huthwaite,"$3,384"
Penelope,CA-2014-133865,Sewall,"$3,360"
Kelly,CA-2013-145625,Collister,"$3,355"
Scot,US-2013-126452,Coram,"$3,339"
Mitch,CA-2011-117639,Willingham,"$3,334"
Peter,US-2012-134558,McVee,"$3,333"
Tracy,US-2012-150630,Blumstein,"$3,329"
Ted,CA-2014-122490,Trevino,"$3,321"
Thomas,CA-2014-143567,Boland,"$3,291"
Gary,CA-2011-144414,Hwang,"$3,291"
Clay,CA-2012-135580,Ludtke,"$3,251"
Sample,US-2011-131275,Company,"$3,247"
Mark,CA-2013-133711,Cousins,"$3,236"
Lena,US-2012-163825,Creighton,"$3,184"
Jim,CA-2012-121720,Epp,"$3,166"
Christopher,CA-2013-135265,Conant,"$3,137"
Yoseph,CA-2011-119375,Carroll,"$3,116"
